service_id,date,exception_type
47000466_8__191___,20190208,2
47000466_8__191___,20190209,2
47000467_8__191___,20190208,2
47000467_8__191___,20190209,2
47000483_8__191___,20190207,2
47000483_8__191___,20190214,2
47000473_8__191___,20190202,2
47000474_8__191___,20190202,2
47000464_8__193___,20190201,2
47000466_8__193___,20190201,2
47000469_8__193___,20190201,2
47000477_8__193___,20190207,2
47000477_8__193___,20190214,2
47000479_8__193___,20190201,2
47000482_8__193___,20190207,2
47000482_8__193___,20190214,2
47000484_8__193___,20190208,2
47000484_8__193___,20190209,2
47000486_8__193___,20190207,2
47000486_8__193___,20190208,2
47000486_8__193___,20190214,2
47000486_8__193___,20190215,2
47000490_8__193___,20190202,2
47000491_8__193___,20190207,2
47000491_8__193___,20190209,2
47000491_8__193___,20190214,2
47000519_8__193___,20190201,2
47000520_8__193___,20190201,2
47000521_8__193___,20190201,2
47000473_8__193___,20190209,2
47000485_8__193___,20190202,2
47000493_8__193___,20190202,2
47000497_8__193___,20190202,2
47000498_8__193___,20190202,2
47000466_8__197___,20190207,2
47000466_8__197___,20190209,2
47000466_8__197___,20190214,2
47000469_8__197___,20190207,2
47000469_8__197___,20190209,2
47000469_8__197___,20190214,2
47000471_8__197___,20190207,2
47000471_8__197___,20190214,2
47000479_8__197___,20190201,2
47000480_8__197___,20190202,2
47000484_8__197___,20190201,2
47000489_8__197___,20190207,2
47000489_8__197___,20190209,2
47000489_8__197___,20190214,2
47000490_8__197___,20190208,2
47000490_8__197___,20190209,2
47000478_8__197___,20190202,2
47000481_8__197___,20190202,2
47000487_8__197___,20190209,2
47000531_8__211___,20190202,2
49000680_8__222___,20190212,2
49001327_8__223___,20190202,2
49001350_8__223___,20190202,2
49001351_8__223___,20190202,2
49001352_8__223___,20190202,2
49001354_8__223___,20190202,2
49001355_8__223___,20190202,2
49001356_8__223___,20190202,2
49001358_8__223___,20190202,2
49001364_8__223___,20190202,2
49001367_8__223___,20190202,2
49001372_8__223___,20190202,2
49001485_8__223___,20190207,2
49000670_8__223___,20190205,2
49000671_8__223___,20190205,2
49000672_8__223___,20190205,2
49000674_8__223___,20190205,2
49000675_8__223___,20190205,2
49000679_8__223___,20190208,2
49000680_8__223___,20190205,2
49000683_8__223___,20190205,2
49000687_8__223___,20190212,2
49000692_8__223___,20190208,2
49000712_8__223___,20190205,2
49000715_8__223___,20190212,2
49000731_8__223___,20190205,2
49000736_8__223___,20190208,2
49000740_8__223___,20190208,2
49000755_8__223___,20190208,2
49000756_8__223___,20190208,2
49000759_8__223___,20190208,2
49000761_8__223___,20190205,2
49000775_8__223___,20190205,2
49000779_8__223___,20190205,2
49000790_8__223___,20190205,2
49000796_8__223___,20190205,2
49000995_8__223___,20190208,2
49001020_8__223___,20190213,2
49001025_8__223___,20190206,2
49001025_8__223___,20190209,2
49001029_8__223___,20190213,2
49001030_8__223___,20190213,2
49000668_8__223___,20190212,2
49000702_8__223___,20190212,2
49000703_8__223___,20190212,2
49000705_8__223___,20190212,2
49000714_8__223___,20190212,2
49000716_8__223___,20190212,2
49000732_8__223___,20190212,2
49001331_8__224___,20190202,2
49001341_8__224___,20190202,2
49001494_8__224___,20190207,2
49000700_8__224___,20190208,2
49000726_8__224___,20190208,2
49000738_8__224___,20190212,2
49000741_8__224___,20190205,2
49000742_8__224___,20190212,2
49000743_8__224___,20190212,2
49000744_8__224___,20190208,2
49000749_8__224___,20190205,2
49000750_8__224___,20190205,2
49000751_8__224___,20190205,2
49000757_8__224___,20190208,2
49000766_8__224___,20190205,2
49000767_8__224___,20190205,2
49000768_8__224___,20190208,2
49000769_8__224___,20190208,2
49000785_8__224___,20190205,2
49000792_8__224___,20190208,2
49000801_8__224___,20190205,2
49000805_8__224___,20190208,2
49000810_8__224___,20190208,2
49000813_8__224___,20190208,2
49001011_8__224___,20190209,2
49001012_8__224___,20190209,2
49001039_8__224___,20190209,2
49001040_8__224___,20190209,2
49000691_8__224___,20190212,2
49000736_8__224___,20190212,2
49000737_8__224___,20190212,2
49000740_8__224___,20190212,2
49001336_8__224_A__,20190202,2
49000725_8__224_A__,20190208,2
49000752_8__224_A__,20190208,2
49000767_8__224_A__,20190205,2
49000787_8__224_A__,20190208,2
49000709_8__224_A__,20190212,2
49000738_8__224_A__,20190212,2
49000739_8__224_A__,20190212,2
49000755_8__224_A__,20190212,2
49000791_8__226___,20190208,2
49000804_8__226___,20190208,2
49000806_8__226___,20190208,2
49000811_8__226___,20190208,2
49000812_8__226___,20190205,2
49000813_8__226___,20190208,2
49001038_8__226___,20190209,2
49000673_8__226___,20190212,2
49000732_8__226___,20190212,2
49000737_8__226___,20190212,2
49000752_8__226___,20190212,2
49000682_8__227___,20190212,2
49000692_8__227___,20190205,2
49000715_8__227___,20190212,2
49000719_8__227___,20190212,2
49000722_8__227___,20190212,2
49000723_8__227___,20190205,2
49000736_8__227___,20190208,2
49000771_8__227___,20190208,2
49000777_8__227___,20190208,2
49000797_8__227___,20190208,2
49000800_8__227___,20190208,2
49001046_8__227___,20190213,2
49000675_8__227___,20190212,2
49000725_8__227___,20190212,2
49001330_8__229___,20190202,2
49001365_8__229___,20190202,2
49000682_8__229___,20190208,2
49000704_8__229___,20190212,2
49000713_8__229___,20190212,2
49000725_8__229___,20190212,2
49000755_8__229___,20190208,2
49000780_8__229___,20190208,2
49000783_8__229___,20190208,2
49000784_8__229___,20190205,2
49000999_8__229___,20190209,2
49001027_8__229___,20190206,2
49001027_8__229___,20190209,2
49001027_8__229___,20190213,2
49000697_8__229___,20190212,2
49000728_8__229___,20190212,2
47000548_8__252___,20190131,2
47000549_8__252___,20190131,2
47000551_8__252___,20190131,2
50000266_8__640_A__,20190209,2
50000348_8__645___,20190207,2
50000348_8__645___,20190214,2
50000182_8__645___,20190207,2
50000183_8__645___,20190207,2
50000188_8__645___,20190208,2
50000189_8__645___,20190208,2
50000176_8__645___,20190209,2
50000177_8__645___,20190209,2
50000180_8__645___,20190207,2
50000180_8__645___,20190209,2
50000181_8__645___,20190207,2
50000194_8__661___,20190202,2
50000194_8__661___,20190207,2
50000194_8__661___,20190209,2
50000195_8__661___,20190208,2
50000196_8__661___,20190202,2
50000196_8__661___,20190205,2
50000196_8__661___,20190209,2
50000197_8__661___,20190202,2
50000197_8__661___,20190207,2
50000197_8__661___,20190209,2
50000199_8__661___,20190202,2
50000199_8__661___,20190207,2
50000199_8__661___,20190209,2
50000200_8__661___,20190212,2
50000201_8__661___,20190202,2
50000201_8__661___,20190205,2
50000201_8__661___,20190209,2
50000204_8__661___,20190202,2
50000204_8__661___,20190207,2
50000204_8__661___,20190209,2
50000205_8__661___,20190202,2
50000205_8__661___,20190207,2
50000205_8__661___,20190209,2
50000206_8__661___,20190215,2
50000207_8__661___,20190202,2
50000207_8__661___,20190207,2
50000207_8__661___,20190209,2
50000209_8__661___,20190212,2
50000209_8__661___,20190215,2
50000225_8__661___,20190207,2
50000227_8__661___,20190212,2
50000228_8__661___,20190205,2
50000228_8__661___,20190207,2
50000229_8__661___,20190212,2
50000230_8__661___,20190205,2
50000230_8__661___,20190207,2
50000234_8__661___,20190212,2
50000239_8__661___,20190207,2
50000244_8__661___,20190207,2
50000249_8__661___,20190212,2
50000250_8__661___,20190205,2
50000250_8__661___,20190207,2
50000254_8__661___,20190212,2
50000259_8__661___,20190208,2
50000274_8__661___,20190206,2
50000274_8__661___,20190209,2
50000275_8__661___,20190209,2
50000282_8__661___,20190213,2
50000284_8__661___,20190206,2
50000284_8__661___,20190208,2
50000287_8__661___,20190206,2
50000287_8__661___,20190208,2
50000289_8__661___,20190213,2
50000293_8__661___,20190206,2
50000293_8__661___,20190208,2
50000294_8__661___,20190213,2
50000295_8__661___,20190213,2
50000297_8__661___,20190206,2
50000312_8__661___,20190210,2
50000313_8__661___,20190208,2
50000318_8__661___,20190208,2
50000320_8__661___,20190208,2
50000324_8__661___,20190206,2
50000324_8__661___,20190208,2
50000328_8__661___,20190208,2
50000329_8__661___,20190208,2
50000333_8__661___,20190208,2
50000343_8__661___,20190213,2
50000187_8__661___,20190209,2
50000188_8__661___,20190209,2
50000189_8__661___,20190209,2
50000190_8__661___,20190209,2
50000192_8__661___,20190207,2
50000193_8__661___,20190207,2
50000193_8__661___,20190209,2
50000198_8__661___,20190207,2
50000198_8__661___,20190209,2
50000202_8__661___,20190207,2
50000202_8__661___,20190209,2
50000223_8__661___,20190207,2
50000226_8__661___,20190207,2
50000237_8__661___,20190207,2
50000242_8__661___,20190207,2
50000188_8__661_A__,20190208,2
50000209_8__661_A__,20190208,2
50000234_8__661_A__,20190208,2
50000314_8__661_A__,20190210,2
50000189_8__661_A__,20190209,2
50000240_8__661_A__,20190207,2
50000256_8__662___,20190208,2
50000194_8__664___,20190212,2
50000196_8__664___,20190205,2
50000196_8__664___,20190207,2
50000198_8__664___,20190215,2
50000199_8__664___,20190202,2
50000199_8__664___,20190205,2
50000199_8__664___,20190207,2
50000199_8__664___,20190209,2
50000201_8__664___,20190202,2
50000201_8__664___,20190205,2
50000201_8__664___,20190209,2
50000204_8__664___,20190202,2
50000204_8__664___,20190209,2
50000207_8__664___,20190205,2
50000207_8__664___,20190207,2
50000209_8__664___,20190202,2
50000209_8__664___,20190207,2
50000209_8__664___,20190209,2
50000225_8__664___,20190207,2
50000228_8__664___,20190212,2
50000229_8__664___,20190205,2
50000229_8__664___,20190207,2
