route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8__151___,CRTM,151,MADRID (Plaza de Castilla) - ALCOBENDAS,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__151___.aspx,8EBF42,FFFFFF
8__152_C__,CRTM,152C,MADRID (Plaza de Castilla)-S.S. DE LOS REYES (Dehesa Vieja),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__152_C__.aspx,8EBF42,FFFFFF
8__153___,CRTM,153,MADRID (Plaza de Castilla)-ALCOBENDAS-ROSA LUXEMBURGO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__153___.aspx,8EBF42,FFFFFF
8__154___,CRTM,154,MADRID (Chamartín)-S.S. REYES CIRCULAR (Por Fuencarral),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__154___.aspx,8EBF42,FFFFFF
8__154_C__,CRTM,154C,MADRID (Plaza de Castilla)-S.S. DE LOS REYES (Avda. de los Quiñones),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__154_C__.aspx,8EBF42,FFFFFF
8__155___,CRTM,155,MADRID (Plaza de Castilla)-EL SOTO DE LA MORALEJA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__155___.aspx,8EBF42,FFFFFF
8__155_B__,CRTM,155B,MADRID (Plaza de Castilla)-EL ENCINAR DE LOS REYES,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__155_B__.aspx,8EBF42,FFFFFF
8__156___,CRTM,156,MADRID (Plaza de Castilla)-S.S. DE LOS REYES (P.I. Moscatelares),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__156___.aspx,8EBF42,FFFFFF
8__157___,CRTM,157,MADRID (Plaza de Castilla)-ALCOBENDAS (P.Chopera),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__157___.aspx,8EBF42,FFFFFF
8__157_C__,CRTM,157C,MADRID (Plaza de Castilla)-ALCOBENDAS (Valdelasfuentes),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__157_C__.aspx,8EBF42,FFFFFF
