service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
201_8__151___,1,1,1,1,1,0,0,20190130,20200228
202_8__151___,1,1,1,1,1,0,0,20190130,20200228
203_8__151___,1,1,1,1,1,0,0,20190130,20200228
219_8__151___,1,1,1,1,1,0,0,20190130,20200228
220_8__151___,1,1,1,1,1,0,0,20190130,20200228
305_8__151___,1,1,1,1,1,0,0,20190130,20200228
311_8__151___,1,1,1,1,1,0,0,20190130,20200228
313_8__151___,1,1,1,1,1,0,0,20190130,20200228
317_8__151___,1,1,1,1,1,0,0,20190130,20200228
401_8__151___,1,1,1,1,1,0,0,20190130,20200228
402_8__151___,1,1,1,1,1,0,0,20190130,20200228
403_8__151___,1,1,1,1,1,0,0,20190130,20200228
435_8__151___,1,1,1,1,1,0,0,20190130,20200228
438_8__151___,1,1,1,1,1,0,0,20190130,20200228
474_8__151___,1,1,1,1,0,0,0,20190130,20200228
475_8__151___,1,1,1,1,0,0,0,20190130,20200228
851_8__151___,1,1,1,1,0,0,0,20190130,20200228
477_8__151___,0,0,0,0,1,0,0,20190201,20200222
545_8__151___,0,0,0,0,1,0,0,20190201,20200222
871_8__151___,0,0,0,0,1,0,0,20190201,20200222
601_8__151___,0,0,0,0,0,1,0,20190202,20200223
602_8__151___,0,0,0,0,0,1,0,20190202,20200223
603_8__151___,0,0,0,0,0,1,0,20190202,20200223
604_8__151___,0,0,0,0,0,1,0,20190202,20200223
641_8__151___,0,0,0,0,0,1,0,20190202,20200223
664_8__151___,0,0,0,0,0,1,0,20190202,20200223
677_8__151___,0,0,0,0,0,1,0,20190202,20200223
678_8__151___,0,0,0,0,0,1,0,20190202,20200223
701_8__151___,0,0,0,0,0,0,1,20190203,20200224
702_8__151___,0,0,0,0,0,0,1,20190203,20200224
703_8__151___,0,0,0,0,0,0,1,20190203,20200224
704_8__151___,0,0,0,0,0,0,1,20190203,20200224
750_8__151___,0,0,0,0,0,0,1,20190203,20200224
764_8__151___,0,0,0,0,0,0,1,20190203,20200224
765_8__151___,0,0,0,0,0,0,1,20190203,20200224
